En,Nl,DE,NO
Portrait,Portretgericht,Hochformat,Portrett
Landscape,Landschapsgericht,Querformat,Landskap
Panels,Zonnepanelen,Solarmodule,Panel
Batten Thickness (mm),Dikte panlatten (mm),Ziegellattendicke (mm),Lekte tykkelse (mm)
To outside of flashing,Inclusief gootstuk,Aufmaß,Mål ytterkant
"Add a roof window, type","Voeg een dakraam toe, type","Addieren sie ein dach fenster, geben sie ein","Legg til et takvindu, type"
Total,Totaal,Gesamtsumme,Totalt
Summary,Samenvatting,Zusammenfassung,Oppsummering
Configurator,Configurator,Konfigurator,Konfigurator
Discount applied,Korting toegepast,Rabatt angewendet,Rabatt lagt til
Power,Vermogen,Leistung,Kraft
Cost,Prijs,Preis,Kostnad
Number,Aantal,Anzahl,Antall
Prices exclude VAT and delivery,Prijzen zijn exclusief BTW en verzendkosten,Preise ohne MwSt. und lieferung,MVA og levering ikke inkludert
Code,Code,Code,Kode
Description,Omschrijving,Beschreibung,Beskrivelse
Price Each,Prijs/stuk,Einzelpreis,Pris stykk
Set,Set,Set,Flate
Item,Item,Artikel,Vare
Kit list copied to clipboard,Pakketlijst gekopieerd naar klembord,Kit-liste in zwischenablage kopiert,Pakningssett kopiert til utklippstavlen
Total for this set,Totaal voor deze set,Summe für diese gruppe,Total pris for dette settet
Number of sets,Aantal sets,Anzahl von gruppen,Antall sett
Your discount,Uw korting,Ihr rabatt,Din rabatt
20 pieces per box,20 stuks/doos,20 Stück/Packung,20 enheter/box
Layout copied to clipboard,Layout gekopieerd naar klembord ,Layout in Zwischenablage kopiert,Layout copied to clipboard
Coming soon,Binnenkort beschikbaar ,Schnell verfügbar,Coming soon
Kit List,Kitlijst ,Kit-Liste,Kit List
Click on the grid above to build a layout and create a kit,Klik op het veld hierboven om een nieuwe lay-out en kitlijst te maken,"Klicken Sie auf das Feld oben, um ein neues Layout und eine neue Kit-Liste zu erstellen",Click on the grid above to build a layout and create a kit
Project Name,Project naam ,Projektname,Project Name
Kit Name,Omschrijving ,Beschreibung,Kit Name
